TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FIDC;17.198.845/0001-36;2014-05-06;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
FIDC;17.206.614/0001-27;2013-01-22;03.017.677/0001-20;BANCO J. SAFRA S.A.
FIDC;17.212.528/0001-27;2013-03-19;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;17.213.074/0001-09;2013-04-16;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.250.006/0001-10;2013-05-27;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.277.165/0001-08;2013-01-03;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.288.447/0001-00;2016-03-02;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.327.766/0001-88;2013-01-17;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.327.777/0001-68;2013-04-24;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.327.794/0001-03;2013-04-09;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.334.148/0001-65;2013-04-16;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;17.417.303/0001-07;2013-02-08;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.417.319/0001-10;2013-02-08;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.417.511/0001-06;2017-12-08;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;17.468.142/0001-80;2013-06-28;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.474.548/0001-76;2013-07-12;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.498.285/0001-35;2013-04-30;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.498.332/0001-40;2013-05-29;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.498.356/0001-08;2013-04-26;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.498.537/0001-26;2013-05-29;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.645.501/0001-28;2013-05-20;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.651.914/0001-15;2013-04-24;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.651.934/0001-96;2013-04-24;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.652.158/0001-49;2013-04-24;10.274.584/0001-47;ICLA TRUST SERVIÇOS FINANCEIROS S.A.
FIDC;17.689.111/0001-50;2013-04-18;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.694.825/0001-56;2013-05-29;12.063.256/0001-27;MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;17.717.110/0001-71;2013-07-31;02.671.743/0001-19;CM CAPITAL MARKETS DTVM LTDA
FIDC;17.717.189/0001-30;2013-03-27;33.868.597/0001-40;CITIBANK DTVM SA
FIDC;17.815.164/0001-70;2013-03-02;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;17.819.770/0001-63;2014-10-15;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;17.911.226/0001-47;2013-04-12;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;17.920.603/0001-04;2013-09-24;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;18.048.628/0001-22;2013-05-31;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;18.048.642/0001-26;2013-05-14;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;18.063.954/0001-09;2013-08-14;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;18.089.347/0001-18;2013-06-28;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.109.188/0001-76;2013-06-21;67.030.395/0001-46;PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
FIDC;18.114.024/0001-37;2016-03-15;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;18.138.991/0001-39;2013-10-16;62.418.140/0001-31;INTRAG DTVM LTDA.
FIDC;18.152.158/0001-42;2013-08-07;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
