TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
F.I.I.;13.726.079/0001-84;SONDA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2011-09-14;;;EM FUNCIONAMENTO NORMAL;2015-02-06;2020-01-01;2020-12-31
F.I.I.;15.538.445/0001-05;SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-04-16;2012-04-30;;EM FUNCIONAMENTO NORMAL;2013-04-16;2020-01-01;2020-12-31
F.I.I.;18.311.024/0001-27;SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-06-20;2013-05-29;;EM FUNCIONAMENTO NORMAL;2016-08-12;2020-01-01;2020-12-31
F.I.I.;32.240.955/0001-02;SPGR 1 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-04-24;2018-10-05;2019-06-19;CANCELADA;2019-06-19;;
F.I.I.;11.044.355/0001-07;STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2010-08-09;;;EM FUNCIONAMENTO NORMAL;2010-08-09;2020-01-01;2020-12-31
F.I.I.;27.293.656/0001-04;STATERA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-03-14;2017-03-02;2018-04-13;CANCELADA;2018-04-13;2019-01-01;2019-12-31
F.I.I.;15.348.117/0001-38;SUCCESS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2012-09-14;2012-04-02;;EM FUNCIONAMENTO NORMAL;2012-09-14;2020-01-01;2020-12-31
F.I.I.;01.207.066/0001-10;SUL BRASIL FDO INV IMOB;1996-03-29;;1998-12-17;CANCELADA;1998-12-17;;
F.I.I.;02.200.787/0001-60;T E RIO FDO INV IMOB;1998-04-08;;1999-12-06;CANCELADA;1999-12-06;;
F.I.I.;21.085.472/0001-64;TA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-09-12;2014-08-04;;EM FUNCIONAMENTO NORMAL;2018-10-29;2020-01-01;2020-12-31
F.I.I.;18.579.302/0001-21;TAG BTS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-03-25;2013-07-17;2019-07-29;CANCELADA;2019-07-29;2020-01-01;2020-12-31
F.I.I.;11.326.746/0001-06;TAG GR IV - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2010-05-28;;;EM FUNCIONAMENTO NORMAL;2010-05-28;2020-01-01;2020-12-31
F.I.I.;18.874.954/0001-99;TARANTO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2014-08-04;2013-08-29;;EM FUNCIONAMENTO NORMAL;2014-08-04;2020-01-01;2020-12-31
F.I.I.;11.701.400/0001-40;TAURUS PATRIMONIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2010-09-16;;;EM FUNCIONAMENTO NORMAL;2010-11-12;2020-01-01;2020-12-31
F.I.I.;22.103.617/0001-75;TC ALMAVI FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2015-10-26;2015-03-02;;EM FUNCIONAMENTO NORMAL;2015-10-29;2019-07-01;2020-06-30
F.I.I.;36.200.701/0001-11;TELLUS DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2020-02-20;2020-01-13;;FASE PRÉ-OPERACIONAL;2020-02-20;;
F.I.I.;26.681.370/0001-25;TELLUS PROPERTIES  FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-12-12;2016-11-25;;EM FUNCIONAMENTO NORMAL;2019-09-23;2020-01-01;2020-12-31
F.I.I.;13.320.290/0001-00;TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2011-12-20;2011-03-23;;EM FUNCIONAMENTO NORMAL;2011-12-20;2020-01-01;2020-12-31
F.I.I.;15.867.036/0001-44;TERRARI I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-07-30;2012-06-18;;LIQUIDAÇÃO;2020-01-03;2020-01-01;2020-12-31
